Dashboard,Category,KPI / Ratio,Formula,Primary Data Source,Upload / Input File,API Endpoint,Database Tables,Benchmark,Code Reference
Rental Overview,Occupancy,Occupancy Rate,Occupied Units / Total Units x 100,Company Registry units,Load Portfolio (Rent Receivable Excel),GET /api/rentals/portfolio-summary,r_units + r_companies,> 92%,backend/services/rental_calculations.py
Rental Overview,Collections,Collected This Month,Sum of unit rent for selected month,Rent Receivable Excel sync,RENT RECEIVABLE.xlsx (month columns),GET /api/rentals/portfolio-summary?month=YYYY-MM,r_units.rent_history + r_companies.monthly_rent_data,> 95% collection,backend/routers/rentals/router.py (_apply_collected_fallback)
Rental Overview,Collections,Collected (fallback 2),P&L Total Income lines for month,QuickBooks P&L upload,CASH_FLOWS.xlsx or P&L export,GET /api/rentals/portfolio-summary,r_financial_uploads.pl_data,If no rent sync,backend/routers/rentals/router.py
Rental Overview,Collections,Collected (fallback 3),Sum of collection records,Manual invoice entry,Collections in app,GET /api/rentals/portfolio-summary,r_invoices + r_collections,Rarely used,backend/services/rental_calculations.py
Rental Overview,Profitability,NOI This Month,Collected This Month - Total Expense This Month,Rent collected + expense records,Rent Receivable + Expenses/P&L,GET /api/rentals/portfolio-summary,r_companies + r_expenses,Positive,backend/services/rental_calculations.py
Rental Overview,Rent Roll,Gross Potential Rent,Sum of all unit monthly_rent (or peak month from Excel),Rent Receivable / unit registry,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_units.monthly_rent,If fully occupied,backend/services/rental_calculations.py
Rental Overview,Vacancy,Vacancy Loss,Sum of monthly_rent for vacant units OR Excel vacancy_loss,Rent Receivable sync,RENT RECEIVABLE.xlsx,GET /api/rentals/portfolio-summary,r_units + r_companies.vacancy_loss,Minimize,backend/routers/rentals/router.py
Rental Overview,Collections,Collection Rate,Collected / Billed x 100,Billed from invoices or GPR fallback,Invoices or rent roll,GET /api/rentals/portfolio-summary,r_invoices,> 95%,frontend/src/pages/RentalOverview.tsx
Rental Overview,AR,Arrears Days Outstanding,"Weighted DSO from QB aging (positive buckets only; credits excluded)",QuickBooks AR Aging upload,QB AR Aging Excel,GET /api/rentals/ar-ap/qb-aging/latest,qb_ar_aging_rows + qb_dso.py,Lower is better,backend/services/qb_dso.py
Rental Overview,AR,Credit Balance,Sum of abs(negative QB bucket amounts),QuickBooks AR Aging upload,QB AR Aging Excel,GET /api/rentals/ar-ap/qb-aging/latest,qb_ar_aging_rows,Shown separately,backend/services/qb_dso.py
Rental Overview,AR,Arrears Outstanding,Sum of max(0 Billed - Collected) per invoice,Invoice registry,Manual or P&L,GET /api/rentals/portfolio-summary,r_invoices,Lower is better,backend/services/rental_calculations.py (unit_arrears)
Rental Overview,Margin,NOI Margin,NOI / Collected x 100,Derived from above,Rent Receivable + expenses,GET /api/rentals/portfolio-summary,Derived,100% if no expenses,frontend/src/pages/RentalOverview.tsx
Financials KPI Dashboard,Profitability,NOI Margin,NOI / Total Revenue x 100,QuickBooks P&L,Financials upload (P&L + BS + CF),GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 40%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Profitability,Net Income Margin,Net Income / Total Revenue x 100,P&L Net Income row,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 10%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Profitability,Revenue Growth YoY,(Current Revenue - Prior Revenue) / Prior Revenue x 100,P&L Total Income by year/month,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 3%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Profitability,Expense Ratio,Total Expenses / Total Revenue x 100,P&L expense totals,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,< 70%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Rental Performance,Rental Income %,Rental Income / Total Revenue x 100,P&L rental income lines,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 80%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Rental Performance,Interest Coverage,NOI / Interest Expense,P&L NOI + interest lines,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,> 2.0x,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Rental Performance,Mgmt Fee %,Management Fee / Total Revenue x 100,P&L management fee lines,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,< 10%,frontend/src/utils/rentalKpiEngine.ts
Financials KPI Dashboard,Rental Performance,Repair % of Revenue,Repairs / Total Revenue x 100,P&L repair/maintenance lines,Financials upload,GET /api/rentals/financials/{company_id},r_financial_uploads.pl_data,< 5%,frontend/src/utils/rentalKpiEngine.ts
